date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:32	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://lceducationconsulting.com/robots.txt		(from )
14:08:33	123810/123810	---MCZ	200	added ('OK')	text/html	etag:a1e6d82e73e94c9a41afed1c14a97ab8	https://lceducationconsulting.com/	C:/Users/ilaga/OneDrive/localhost/lcec/lceducationconsulting.com/index.html	(from )
14:08:33	491/491	---MCZ	200	added ('OK')	application/manifest+json	etag:b52e74e00dd5caefd47e8e0c4dfc997a	https://lceducationconsulting.com/manifest.webmanifest	C:/Users/ilaga/OneDrive/localhost/lcec/lceducationconsulting.com/manifest.webmanifest	(from https://lceducationconsulting.com/)
14:08:33	139392/139392	---M--	200	added ('OK')	image/jpeg	etag:2732270947	https://img1.wsimg.com/isteam/ip/a821e253-f35c-44be-8830-fee736225438/LC%20LOGO-3adc54b.png	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/isteam/ip/a821e253-f35c-44be-8830-fee736225438/LC%20LOGO-3adc54b.jpg	(from https://lceducationconsulting.com/)
14:08:33	32985/32985	---MCZ	200	added ('OK')	application/javascript	etag:f0b74064073dd23f95f535e7719b1314	https://lceducationconsulting.com/sw.js	C:/Users/ilaga/OneDrive/localhost/lcec/lceducationconsulting.com/sw.js	(from https://lceducationconsulting.com/)
14:08:33	118945/118945	---MCZ	200	added ('OK')	text/html	etag:8e63da04abe76cf89d5d26dcbcc17506	https://lceducationconsulting.com/our-story	C:/Users/ilaga/OneDrive/localhost/lcec/lceducationconsulting.com/our-story.html	(from https://lceducationconsulting.com/)
14:08:34	105637/105637	---MCZ	200	added ('OK')	text/html	etag:f7fa143ba52d9fe833d89e8fcd94b943	https://lceducationconsulting.com/why-choose-us	C:/Users/ilaga/OneDrive/localhost/lcec/lceducationconsulting.com/why-choose-us.html	(from https://lceducationconsulting.com/)
14:08:34	130847/130847	---MCZ	200	added ('OK')	text/html	etag:2a74b4d6b44af4841df74dc37594acc4	https://lceducationconsulting.com/accessibility-services	C:/Users/ilaga/OneDrive/localhost/lcec/lceducationconsulting.com/accessibility-services.html	(from https://lceducationconsulting.com/)
14:08:34	97656/97656	---MCZ	200	added ('OK')	text/html	etag:ee552bc322bac993ed00c341b7b19f26	https://lceducationconsulting.com/webinars-%26-training	C:/Users/ilaga/OneDrive/localhost/lcec/lceducationconsulting.com/webinars-&-training.html	(from https://lceducationconsulting.com/)
14:08:34	114758/114758	---MCZ	200	added ('OK')	text/html	etag:895200e07eec35662003872c6b006ea3	https://lceducationconsulting.com/portfolio	C:/Users/ilaga/OneDrive/localhost/lcec/lceducationconsulting.com/portfolio.html	(from https://lceducationconsulting.com/)
14:08:35	128832/128832	---MCZ	200	added ('OK')	text/html	etag:63ba54515369586ecb8a49174ecef6a2	https://lceducationconsulting.com/contact	C:/Users/ilaga/OneDrive/localhost/lcec/lceducationconsulting.com/contact.html	(from https://lceducationconsulting.com/)
14:08:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Mar%202026%2018:08:35%20GMT	http://img1.wsimg.com/traffic-assets/js/tccl-tti.min.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/traffic-assets/js/tccl-tti.min.c.delayed	(from https://lceducationconsulting.com/)
14:08:36	67113/67113	---M-Z	200	added ('OK')	application/javascript	etag:%225c525b4f8d906f5cdc85c513716eaeb4%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/1808e5e5baa9c210/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/1808e5e5baa9c210/script.js	(from https://lceducationconsulting.com/)
14:08:36	40336/40336	---M-Z	200	added ('OK')	application/javascript	etag:%223287483e69b2900a2d57c300e9b38efd%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/3674abc49dc75ee3/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/3674abc49dc75ee3/script.js	(from https://lceducationconsulting.com/)
14:08:40	314757/314757	---M-Z	200	added ('OK')	application/javascript	etag:%22e68339d73851f7ea6ef9f08795e0b9aa%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.51.17.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.51.17.js	(from https://lceducationconsulting.com/)
14:08:40	21592/21592	---M-Z	200	added ('OK')	text/javascript	etag:%221c56940a864f144fae2eb40ee952cb94%22	https://img1.wsimg.com/signals/js/clients/tti/tti.min.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/signals/js/clients/tti/tti.min.js	(from https://lceducationconsulting.com/)
14:08:40	243/-1	---M--	403	error ('Forbidden')	application/xml	date:Tue,%2024%20Mar%202026%2018:08:39%20GMT	http://img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	(from https://lceducationconsulting.com/)
14:08:41	67113/67113	---M-Z	200	added ('OK')	application/javascript	etag:%22acbd3af631d0520f264cb6c64cb45cce%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/1726e79b3c2c1c55/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/1726e79b3c2c1c55/script.js	(from https://lceducationconsulting.com/our-story)
14:08:41	45427/45427	---M-Z	200	added ('OK')	application/javascript	etag:%22d8e6af89e801a70ab2bc86c46f1d9255%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/5e7c52786feb249a/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/5e7c52786feb249a/script.js	(from https://lceducationconsulting.com/our-story)
14:08:42	40158/40158	---M-Z	200	added ('OK')	application/javascript	etag:%225e9d8267c88900c5a8a8590656bf9bf9%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/2ccd17c801cb9463/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/2ccd17c801cb9463/script.js	(from https://lceducationconsulting.com/why-choose-us)
14:08:43	67113/67113	---M-Z	200	added ('OK')	application/javascript	etag:%2225897f640160123d662755fcd7e1e355%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/f2a009f38b438a08/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/f2a009f38b438a08/script.js	(from https://lceducationconsulting.com/why-choose-us)
14:08:43	40194/40194	---M-Z	200	added ('OK')	application/javascript	etag:%22607092fe79ffc9b9ffca2ba75a4a066d%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/235b4a2e5b6ecdbf/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/235b4a2e5b6ecdbf/script.js	(from https://lceducationconsulting.com/accessibility-services)
14:08:44	67113/67113	---M-Z	200	added ('OK')	application/javascript	etag:%22d458e2f4fa6048114c41eafe0cd6fe36%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/96dae4b60bd34553/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/96dae4b60bd34553/script.js	(from https://lceducationconsulting.com/accessibility-services)
14:08:44	40165/40165	---M-Z	200	added ('OK')	application/javascript	etag:%22e26b526fa1ac794a5f364a0a278be25e%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/6a638ea595c6887f/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/6a638ea595c6887f/script.js	(from https://lceducationconsulting.com/webinars-%26-training)
14:08:45	67113/67113	---M-Z	200	added ('OK')	application/javascript	etag:%22419c1f27d4c36d497fbe8ca92fad8c1c%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/b64e503a1a50f873/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/b64e503a1a50f873/script.js	(from https://lceducationconsulting.com/webinars-%26-training)
14:08:45	43805/43805	---M-Z	200	added ('OK')	application/javascript	etag:%22195630431e1d2805c09506214a04076d%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/6041ea23721afdb9/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/6041ea23721afdb9/script.js	(from https://lceducationconsulting.com/portfolio)
14:08:46	67113/67113	---M-Z	200	added ('OK')	application/javascript	etag:%22d5ebfa200b1d7a9d37b8ca836fc7ee9c%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/55d174ca7e338e08/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/55d174ca7e338e08/script.js	(from https://lceducationconsulting.com/portfolio)
14:08:46	45137/45137	---M-Z	200	added ('OK')	application/javascript	etag:%22093d48b7a2c8f5ba9c39ac9effab0a35%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/f1e2b56683bbd372/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/f1e2b56683bbd372/script.js	(from https://lceducationconsulting.com/contact)
14:08:46	67113/67113	---M-Z	200	added ('OK')	application/javascript	etag:%22cca7673dafc81ae7942466c3b56b128e%22	http://img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/dffd0f037fb1890f/script.js	C:/Users/ilaga/OneDrive/localhost/lcec/img1.wsimg.com/blobby/go/a821e253-f35c-44be-8830-fee736225438/gpub/dffd0f037fb1890f/script.js	(from https://lceducationconsulting.com/contact)
